%user,%nice,%system,%iowait,%steal,%idle
3.92,0.04,1.53,4.33,0,90.18
1,0,0.25,0.5,0,98.25
16,0,1.75,1,0,81.25
22.81,0,2.01,0.25,0,74.94
23.75,0,1.25,0.5,0,74.5
23,0,1.75,2,0,73.25
21.05,0,1.25,3.51,0,74.19
10.03,0,1.25,14.04,0,74.69
14.07,0,1.51,20.35,0,64.07
9.5,0,1.25,20.5,0,68.75
0.75,0,0.25,32.5,0,66.5
0.25,0,0,41.96,0,57.79
1.01,0,0.25,50,0,48.74
0.75,0,0.75,49.25,0,49.25
9.3,0,0.75,14.82,0,75.13
23,0,2,0.25,0,74.75
20.25,0,1.5,7,0,71.25
23.12,0,2.01,0,0,74.87
5.76,0,1,19.05,0,74.19
0,0,0.5,11.53,0,87.97
1.25,0,0.5,0,0,98.25
0.25,0,0,0.25,0,99.5
0,0,0.25,0.25,0,99.5
0.5,0,0.25,0,0,99.25
0.25,0,0,0,0,99.75
