Linux 3.19.0-84-generic (Lenovo-G50-80) 	Tuesday 26 September 2017 	_x86_64_	(4 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           3.92    0.04    1.53    4.33    0.00   90.18

Device:            tps    kB_read/s    kB_wrtn/s    kB_read    kB_wrtn
sda              18.18      1293.06      2368.11   26227318   48032585
sda1              0.01         0.04         0.00        848          0
sda2              0.03         0.16         0.00       3245          1
sda3              0.00         0.04         0.00        832          0
sda4              0.00         0.04         0.00        824          0
sda5              0.00         0.04         0.00        832          0
sda6              0.00         0.04         0.00        832          0
sda7              0.00         0.04         0.00        832          0
sda8              0.00         0.04         0.00        832          0
sda9              0.00         0.04         0.00        840          0
sda10            16.80      1279.29      2317.91   25947929   47014432
sda11             1.15        13.24        50.20     268544    1018152

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.00    0.00    0.25    0.50    0.00   98.25

Device:            tps    kB_read/s    kB_wrtn/s    kB_read    kB_wrtn
sda               00.2        12.00         0.00         12          0
sda1              0.00         0.00         0.00          0          0
sda2              0.00         0.00         0.00          0          0
sda3              0.00         0.00         0.00          0          0
sda4              0.00         0.00         0.00          0          0
sda5              0.00         0.00         0.00          0          0
sda6              0.00         0.00         0.00          0          0
sda7              0.00         0.00         0.00          0          0
sda8              0.00         0.00         0.00          0          0
sda9              0.00         0.00         0.00          0          0
sda10             2.00        12.00         0.00         12          0
sda11             0.00         0.00         0.00          0          0

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          16.00    0.00    1.75    1.00    0.00   81.25

Device:            tps    kB_read/s    kB_wrtn/s    kB_read    kB_wrtn
sda             298.00     37620.00         0.00      37620          0
sda1              0.00         0.00         0.00          0          0
sda2              0.00         0.00         0.00          0          0
sda3              0.00         0.00         0.00          0          0
sda4              0.00         0.00         0.00          0          0
sda5              0.00         0.00         0.00          0          0
sda6              0.00         0.00         0.00          0          0
sda7              0.00         0.00         0.00          0          0
sda8              0.00         0.00         0.00          0          0
sda9              0.00         0.00         0.00          0          0
sda10           298.00     37620.00         0.00      37620          0
sda11             0.00         0.00         0.00          0          0

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          22.81    0.00    2.01    0.25    0.00   74.94

Device:            tps    kB_read/s    kB_wrtn/s    kB_read    kB_wrtn
sda             491.00     62720.00         0.00      62720          0
sda1              0.00         0.00         0.00          0          0
sda2              0.00         0.00         0.00          0          0
sda3              0.00         0.00         0.00          0          0
sda4              0.00         0.00         0.00          0          0
sda5              0.00         0.00         0.00          0          0
sda6              0.00         0.00         0.00          0          0
sda7              0.00         0.00         0.00          0          0
sda8              0.00         0.00         0.00          0          0
sda9              0.00         0.00         0.00          0          0
sda10           491.00     62720.00         0.00      62720          0
sda11             0.00         0.00         0.00          0          0

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          23.75    0.00    1.25    0.50    0.00   74.50

Device:            tps    kB_read/s    kB_wrtn/s    kB_read    kB_wrtn
sda             489.00     62592.00         0.00      62592          0
sda1              0.00         0.00         0.00          0          0
sda2              0.00         0.00         0.00          0          0
sda3              0.00         0.00         0.00          0          0
sda4              0.00         0.00         0.00          0          0
sda5              0.00         0.00         0.00          0          0
sda6              0.00         0.00         0.00          0          0
sda7              0.00         0.00         0.00          0          0
sda8              0.00         0.00         0.00          0          0
sda9              0.00         0.00         0.00          0          0
sda10           489.00     62592.00         0.00      62592          0
sda11             0.00         0.00         0.00          0          0

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          23.00    0.00    1.75    2.00    0.00   73.25

Device:            tps    kB_read/s    kB_wrtn/s    kB_read    kB_wrtn
sda             477.00     60928.00       108.00      60928        108
sda1              0.00         0.00         0.00          0          0
sda2              0.00         0.00         0.00          0          0
sda3              0.00         0.00         0.00          0          0
sda4              0.00         0.00         0.00          0          0
