['Device', 'tps', 'kB_read/s', 'kB_wrtn/s', 'kb_read', 'kB_wrtn'],P. Read,Power const.,P.Write,P.Idle,%idle,Idle const,Total Power
sda,18.18,1293.06,2368.11,26227318,48032585,1629.3,1.26,2983.8,1082.2,90.18,0.6,5695.2
sda,0.2,12,0,12,0,15.1,1.26,0.0,1179.0,98.25,0.6,1194.1
sda,298,37620,0,37620,0,47401.2,1.26,0.0,975.0,81.25,0.6,48376.2
sda,491,62720,0,62720,0,79027.2,1.26,0.0,899.3,74.94,0.6,79926.5
sda,489,62592,0,62592,0,78865.9,1.26,0.0,894.0,74.5,0.6,79759.9
sda,477,60928,108,60928,108,76769.3,1.26,136.1,879.0,73.25,0.6,77784.4
sda,475,56192,12428,56192,12428,70801.9,1.26,15659.3,890.3,74.19,0.6,87351.5
sda,209,22784,28740, ,28740,28707.8,1.26,36212.4,896.3,74.69,0.6,65816.5
sda,315,36488,20536,36488,20536,45974.9,1.26,25875.4,768.8,64.07,0.6,72619.1
sda,211,21504,34812,21504,34812,27095.0,1.26,43863.1,825.0,68.75,0.6,71783.2
sda,65,512,59488,512,59488,645.1,1.26,74954.9,798.0,66.5,0.6,76398.0
sda,64,256,60704,256,60704,322.6,1.26,76487.0,693.5,57.79,0.6,77503.1
sda,73,0,67552,0,67552,0.0,1.26,85115.5,584.9,48.74,0.6,85700.4
sda,61,512,52084,512,52084,645.1,1.26,65625.8,591.0,49.25,0.6,66862.0
sda,216,24320,25708,24320,25708,30643.2,1.26,32392.1,901.6,75.13,0.6,63936.8
sda,498,63744,0,63744,0,80317.4,1.26,0.0,897.0,74.75,0.6,81214.4
sda,406,51712,72,51712,72,65157.1,1.26,90.7,855.0,71.25,0.6,66102.8
sda,502,64256,0,64256,0,80962.6,1.26,0.0,898.4,74.87,0.6,81861.0
sda,174,13756,62260,13756,62260,17332.6,1.26,78447.6,890.3,74.19,0.6,96670.4
sda,72,0,67680,0,67680,0.0,1.26,85276.8,1055.6,87.97,0.6,86332.4
sda,74,0,65536,0,65536,0.0,1.26,82575.4,1179.0,98.25,0.6,83754.4
sda,26,0,22888,0,22888,0.0,1.26,28838.9,1194.0,99.5,0.6,30032.9
sda,0,0,0,0,0,0.0,1.26,0.0,1194.0,99.5,0.6,1194.0
sda,0,0,0,0,0,0.0,1.26,0.0,1191.0,99.25,0.6,1191.0
sda,0,0,0,0,0,0.0,1.26,0.0,1197.0,99.75,0.6,1197.0
