['Device', 'tps', 'kB_read/s', 'kB_wrtn/s', 'kb_read', 'kB_wrtn'],P.Read,Power const.,P.Write,P.Idle,% idle,Idle const,Total Power
sda,6.42,123.24,364.13,734577,2170369,155.3,1.26,458.8,1161.1,96.76,0.6,1775.2
sda,0,0,0,0,0,0.0,1.26,0.0,1145.6,95.47,0.6,1145.6
sda,4790,19176,108,19176,108,24161.8,1.26,136.1,912.7,76.06,0.6,25210.6
sda,5719,22888,0,22888,0,28838.9,1.26,0.0,895.4,74.62,0.6,29734.3
sda,2326,9164,24576,9164,24576,11546.6,1.26,30965.8,1073.4,89.45,0.6,43585.8
sda,65,0,47680,0,47680,0.0,1.26,60076.8,1179.0,98.25,0.6,61255.8
sda,29,0,30148,0,30148,0.0,1.26,37986.5,1194.0,99.5,0.6,39180.5
sda,0,0,0,0,0,0.0,1.26,0.0,1197.0,99.75,0.6,1197.0
sda,2,0,52,0,52,0.0,1.26,65.5,1191.0,99.25,0.6,1256.5
sda,0,0,0,0,0,0.0,1.26,0.0,1194.0,99.5,0.6,1194.0
sda,0,0,0,0,0,0.0,1.26,0.0,1200.0,100,0.6,1200.0
sda,0,0,0,0,0,0.0,1.26,0.0,1194.0,99.5,0.6,1194.0
sda,37,0,192,0,192,0.0,1.26,241.9,1197.0,99.75,0.6,1438.9
sda,2,0,12,0,12,0.0,1.26,15.1,1185.0,98.75,0.6,1200.1
sda,0,0,0,0,0,0.0,1.26,0.0,1197.0,99.75,0.6,1197.0
sda,0,0,0,0,0,0.0,1.26,0.0,1197.0,99.75,0.6,1197.0
sda,0,0,0,0,0,0.0,1.26,0.0,1200.0,100,0.6,1200.0
sda,5,0,28,0,28,0.0,1.26,35.3,1197.0,99.75,0.6,1232.3
sda,2,0,28,0,28,0.0,1.26,35.3,1185.0,98.75,0.6,1220.3
sda,0,0,0,0,0,0.0,1.26,0.0,1200.0,100,0.6,1200.0
