['Device', 'tps', 'kB_read/s', 'kB_wrtn/s', 'kb_read', 'kB_wrtn'],P.Read,Power const.,P.Write,P.Idle,%idle,Idle const,Total Power
sda,7.03,160.28,405.43,700757,1772521,202.0,1.26,510.8,1150.3,95.86,0.6,1863.1
sda,2,12,0,12,0,15.1,1.26,0.0,1125.0,93.75,0.6,1140.1
sda,5076,20316,0,20316,0,25598.2,1.26,0.0,951.5,79.29,0.6,26549.6
sda,872,3312,51204,3312,51204,4173.1,1.26,64517.0,1127.6,93.97,0.6,69817.8
sda,2,0,116,0,116,0.0,1.26,146.2,1146.1,95.51,0.6,1292.3
sda,0,0,0,0,0,0.0,1.26,0.0,1128.0,94,0.6,1128.0
sda,0,0,0,0,0,0.0,1.26,0.0,1197.0,99.75,0.6,1197.0
sda,0,0,0,0,0,0.0,1.26,0.0,1188.0,99,0.6,1188.0
sda,0,0,0,0,0,0.0,1.26,0.0,1197.0,99.75,0.6,1197.0
sda,0,0,0,0,0,0.0,1.26,0.0,1194.0,99.5,0.6,1194.0
sda,2,0,12,0,12,0.0,1.26,15.1,1185.0,98.75,0.6,1200.1
sda,0,0,0,0,0,0.0,1.26,0.0,1197.0,99.75,0.6,1197.0
sda,0,0,0,0,0,0.0,1.26,0.0,1197.0,99.75,0.6,1197.0
sda,0,0,0,0,0,0.0,1.26,0.0,1194.0,99.5,0.6,1194.0
sda,0,0,0,0,0,0.0,1.26,0.0,1197.0,99.75,0.6,1197.0
sda,2,0,12,0,12,0.0,1.26,15.1,1188.0,99,0.6,1203.1
sda,0,0,0,0,0,0.0,1.26,0.0,1197.0,99.75,0.6,1197.0
sda,0,0,0,0,0,0.0,1.26,0.0,1200.0,100,0.6,1200.0
sda,0,0,0,0,0,0.0,1.26,0.0,1194.0,99.5,0.6,1194.0
sda,0,0,0,0,0,0.0,1.26,0.0,1197.0,99.75,0.6,1197.0
