['Device', 'tps', 'kB_read/s', 'kB_wrtn/s', 'kb_read', 'kB_wrtn'],P.Read,Power const.,P.Write,P.Idle,% idle,Idle const,Total Power
sda,39.87,2053.68,3512.42,11644225,19915201,2587.6,1.26,4425.6,1103.5,91.96,0.6,8116.8
sda,1,8,0,8,0,10.1,1.26,0.0,1122.2,93.52,0.6,1132.3
sda,430,54768,0,54768,0,69007.7,1.26,0.0,931.7,77.64,0.6,69939.4
sda,492,62976,0,62976,0,79349.8,1.26,0.0,885.6,73.8,0.6,80235.4
sda,498,63744,0,63744,0,80317.4,1.26,0.0,896.3,74.69,0.6,81213.7
sda,482,61696,64,61696,64,77737.0,1.26,80.6,879.8,73.32,0.6,78697.4
sda,456,52224,18500,52224,18500,65802.2,1.26,23310.0,906.8,75.57,0.6,90019.1
sda,268,28672,27264,28672,27264,36126.7,1.26,34352.6,894.0,74.5,0.6,71373.4
sda,266,28672,25252,28672,25252,36126.7,1.26,31817.5,900.0,75,0.6,68844.2
sda,86,396,53984,396,53984,499.0,1.26,68019.8,798.0,66.5,0.6,69316.8
sda,96,260,64192,260,64192,327.6,1.26,80881.9,615.1,51.26,0.6,81824.6
sda,86.18,296.77,58851.61,644,127708,373.9,1.26,74153.0,697.2,58.1,0.6,75224.2
sda,237,23552,37036,23552,37036,29675.5,1.26,46665.4,898.4,74.87,0.6,77239.3
sda,492,62976,0,62976,0,79349.8,1.26,0.0,896.3,74.69,0.6,80246.0
sda,372,46848,156,46848,156,59028.5,1.26,196.6,826.9,68.91,0.6,60052.0
sda,504,63616,56,63616,56,80156.2,1.26,70.6,892.4,74.37,0.6,81119.2
sda,508,63488,168,63488,168,79994.9,1.26,211.7,891.0,74.25,0.6,81097.6
sda,341,37252,28792,37252,28792,46937.5,1.26,36277.9,897.7,74.81,0.6,84113.2
sda,257,28672,25684,28672,25684,36126.7,1.26,32361.8,898.4,74.87,0.6,69387.0
sda,263,28928,31704,28928,31704,36449.3,1.26,39947.0,896.3,74.69,0.6,77292.6
sda,254,28420,28504,28420,28504,35809.2,1.26,35915.0,897.0,74.75,0.6,72621.2
sda,262,28672,25944,28672,25944,36126.7,1.26,32689.4,820.1,68.34,0.6,69636.2
sda,94,132,64864,132,64864,166.3,1.26,81728.6,875.2,72.93,0.6,82770.1
sda,93,264,60032,264,60032,332.6,1.26,75640.3,768.8,64.07,0.6,76741.8
sda,86,16,56672,16,56672,20.2,1.26,71406.7,631.6,52.63,0.6,72058.4
sda,95,256,62176,256,62176,322.6,1.26,78341.8,485.4,40.45,0.6,79149.7
sda,138,11908,29064,11908,29064,15004.1,1.26,36620.6,624.1,52.01,0.6,52248.8
sda,496,63488,0,63488,0,79994.9,1.26,0.0,895.4,74.62,0.6,80890.3
sda,496,63488,0,63488,0,79994.9,1.26,0.0,895.4,74.62,0.6,80890.3
sda,498,63744,0,63744,0,80317.4,1.26,0.0,891.0,74.25,0.6,81208.4
sda,499,63872,0,63872,0,80478.7,1.26,0.0,897.7,74.81,0.6,81376.4
sda,301,32128,28848,32128,28848,40481.3,1.26,36348.5,745.9,62.16,0.6,77575.7
sda,265,28420,28680,28420,28680,35809.2,1.26,36136.8,870.5,72.54,0.6,72816.5
sda,289,29704,28720,29704,28720,37427.0,1.26,36187.2,900.7,75.06,0.6,74515.0
sda,301,32768,28676,32768,28676,41287.7,1.26,36131.8,901.6,75.13,0.6,78321.0
sda,246,23936,39348,23936,39348,30159.4,1.26,49578.5,796.0,66.33,0.6,80533.8
sda,98,264,61376,264,61376,332.6,1.26,77333.8,860.2,71.68,0.6,78526.6
sda,80,260,50884,260,50884,327.6,1.26,64113.8,379.9,31.66,0.6,64821.4
sda,90,516,57816,516,57816,650.2,1.26,72848.2,718.8,59.9,0.6,74217.1
sda,90,256,62048,256,62048,322.6,1.26,78180.5,899.3,74.94,0.6,79402.3
sda,183,18432,28620,18432,28620,23224.3,1.26,36061.2,896.3,74.69,0.6,60181.8
sda,505,63104,564,63104,564,79511.0,1.26,710.6,892.4,74.37,0.6,81114.1
sda,483,59264,768,59264,768,74672.6,1.26,967.7,876.6,73.05,0.6,76516.9
sda,513,63104,708,63104,708,79511.0,1.26,892.1,893.3,74.44,0.6,81296.4
