['Device', 'tps', 'kB_read/s', 'kB_wrtn/s', 'kb_read', 'kB_wrtn'],P.Read,Power const.,P.Write,P.Idle,%idle,Idle const,Total Power
sda,52.64,1535.38,2086.23,14112453,19175601,1934.6,1.26,2628.6,1002.6,83.55,0.6,5565.8
sda,19,96,0,96,0,121.0,1.26,0.0,1094.2,91.18,0.6,1215.1
sda,233,23592,0,23592,0,29725.9,1.26,0.0,957.0,79.75,0.6,30682.9
sda,363,37248,25256,37248,25256,46932.5,1.26,31822.6,886.4,73.87,0.6,79641.5
sda,158,13060,36872,13060,36872,16455.6,1.26,46458.7,879.0,73.25,0.6,63793.3
sda,278,32132,23172,32132,23172,40486.3,1.26,29196.7,876.6,73.05,0.6,70559.6
sda,49,644,18112,644,18112,811.4,1.26,22821.1,831.7,69.31,0.6,24464.3
sda,5,32,0,32,0,40.3,1.26,0.0,1163.9,96.99,0.6,1204.2
sda,0,0,0,0,0,0.0,1.26,0.0,1178.9,98.24,0.6,1178.9
sda,0,0,0,0,0,0.0,1.26,0.0,1188.0,99,0.6,1188.0
sda,1,0,4,0,4,0.0,1.26,5.0,1128.0,94,0.6,1133.0
sda,80,492,2332,492,2332,619.9,1.26,2938.3,1081.8,90.15,0.6,4640.0
sda,25,300,0,300,0,378.0,1.26,0.0,1184.8,98.73,0.6,1562.8
sda,222,3688,80,3688,80,4646.9,1.26,100.8,990.0,82.5,0.6,5737.7
sda,214,720,1640,720,1640,907.2,1.26,2066.4,781.8,65.15,0.6,3755.4
sda,24,184,16,184,16,231.8,1.26,20.2,1029.8,85.82,0.6,1281.8
sda,20,116,0,116,0,146.2,1.26,0.0,1074.4,89.53,0.6,1220.5
sda,10,40,0,40,0,50.4,1.26,0.0,1160.9,96.74,0.6,1211.3
sda,1,8,0,8,0,10.1,1.26,0.0,1133.9,94.49,0.6,1144.0
sda,1,4,0,4,0,5.0,1.26,0.0,1175.9,97.99,0.6,1180.9
