['Device', 'tps', 'kB_read/s', 'kB_wrtn/s', 'kb_read', 'kB_wrtn'],P.Read,Power const.,P.Write,P.Idle,% idle,Idle const,Total Power
sda,53.56,1650.12,2184.95,15573505,20621169,2079.2,1.26,2753.0,10035.6,83.63,0.6,14867.8
sda,1,8,0,8,0,10.1,1.26,0.0,11157.6,92.98,0.6,11167.7
sda,187,15740,48,15740,48,19832.4,1.26,60.5,8666.4,72.22,0.6,28559.3
sda,303,31108,32668,31108,32668,39196.1,1.26,41161.7,8826.0,73.55,0.6,89183.8
sda,326,37888,16520,37888,16520,47738.9,1.26,20815.2,8871.6,73.93,0.6,77425.7
sda,267,29184,24580,29184,24580,36771.8,1.26,30970.8,8887.2,74.06,0.6,76629.8
sda,266,22448,16440,22448,16440,28284.5,1.26,20714.4,7849.2,65.41,0.6,56848.1
sda,242,22236,16424,22236,16424,28017.4,1.26,20694.2,7333.2,61.11,0.6,56044.8
sda,208,18796,43656,18796,43656,23683.0,1.26,55006.6,7970.4,66.42,0.6,86659.9
sda,71,3388,23532,3388,23532,4268.9,1.26,29650.3,6600.0,55,0.6,40519.2
sda,100,9228,104,9228,104,11627.3,1.26,131.0,8661.6,72.18,0.6,20419.9
sda,189,16896,300,16896,300,21289.0,1.26,378.0,8390.4,69.92,0.6,30057.4
sda,282,29380,17276,29380,17276,37018.8,1.26,21767.8,7447.2,62.06,0.6,66233.8
sda,322,33580,21672,33580,21672,42310.8,1.26,27306.7,8606.4,71.72,0.6,78223.9
sda,86,516,49620,516,49620,650.2,1.26,62521.2,8760.0,73,0.6,71931.4
sda,434,50944,11388,50944,11388,64189.4,1.26,14348.9,8834.4,73.62,0.6,87372.7
sda,298,33280,23208,33280,23208,41932.8,1.26,29242.1,8811.6,73.43,0.6,79986.5
sda,169,17168,17748,17168,17748,21631.7,1.26,22362.5,7950.0,66.25,0.6,51944.2
sda,191,16952,30416,16952,30416,21359.5,1.26,38324.2,8826.0,73.55,0.6,68509.7
sda,197,17812,28928,17812,28928,22443.1,1.26,36449.3,8460.0,70.5,0.6,67352.4
sda,88,2632,38168,2632,38168,3316.3,1.26,48091.7,7443.6,62.03,0.6,58851.6
sda,449,51972,16652,51972,16652,65484.7,1.26,20981.5,8270.4,68.92,0.6,94736.6
sda,169,16176,17948,16176,17948,20381.8,1.26,22614.5,7828.8,65.24,0.6,50825.0
sda,280,27332,17124,27332,17124,34438.3,1.26,21576.2,8848.8,73.74,0.6,64863.4
sda,249,24100,20104,24100,20104,30366.0,1.26,25331.0,8856.0,73.8,0.6,64553.0
sda,80,384,48480,384,48480,483.8,1.26,61084.8,8917.2,74.31,0.6,70485.8
sda,446,53376,13784,53376,13784,67253.8,1.26,17367.8,8781.6,73.18,0.6,93403.2
sda,267,31268,7696,31268,7696,39397.7,1.26,9697.0,7387.2,61.56,0.6,56481.8
sda,534,66816,792,66816,792,84188.2,1.26,997.9,8908.8,74.24,0.6,94094.9
sda,513,51728,192,51728,192,65177.3,1.26,241.9,8938.8,74.49,0.6,74358.0
sda,346,32772,0,32772,0,41292.7,1.26,0.0,7677.6,63.98,0.6,48970.3
sda,243,23276,8600,23276,8600,29327.8,1.26,10836.0,5696.4,47.47,0.6,45860.2
sda,96,2332,36680,2332,36680,2938.3,1.26,46216.8,5340.0,44.5,0.6,54495.1
sda,219,21864,412,21864,412,27548.6,1.26,519.1,6831.6,56.93,0.6,34899.4
sda,269,29144,0,29144,0,36721.4,1.26,0.0,5878.8,48.99,0.6,42600.2
sda,377,46200,2276,46200,2276,58212.0,1.26,2867.8,6921.6,57.68,0.6,68001.4
sda,529,67584,52,67584,52,85155.8,1.26,65.5,8781.6,73.18,0.6,94003.0
sda,418,53256,12,53256,12,67102.6,1.26,15.1,8332.8,69.44,0.6,75450.5
sda,522,66688,0,66688,0,84026.9,1.26,0.0,8878.8,73.99,0.6,92905.7
sda,483,58168,2936,58168,2936,73291.7,1.26,3699.4,8280.0,69,0.6,85271.0
sda,348.51,40621.78,3370.3,41028,3404,51183.4,1.26,4246.6,7461.6,62.18,0.6,62891.6
sda,275.76,23119.19,25854.55,22888,25596,29130.2,1.26,32576.7,4363.2,36.36,0.6,66070.1
sda,48.51,3869.31,11.88,3908,12,4875.3,1.26,15.0,2875.2,23.96,0.6,7765.5
sda,89,2100,39468,2100,39468,2646.0,1.26,49729.7,3381.6,28.18,0.6,55757.3
sda,184,15704,0,15704,0,19787.0,1.26,0.0,1809.6,15.08,0.6,21596.6
sda,295,17024,28,17024,28,21450.2,1.26,35.3,3879.6,32.33,0.6,25365.1
