['Device', 'tps', 'kB_read/s', 'kB_wrtn/s', 'kb_read', 'kB_wrtn'],P.Read,Power const.,P.Write,P.Idle,%idle,Idle const,Total Power
sda,17.46,580.99,42.43,732065,53469,732.0,1.26,53.5,28251.0,94.17,0.6,29036.5
sda,2,12,0,12,0,15.1,1.26,0.0,28422.0,94.74,0.6,28437.1
sda,306,11100,0,11100,0,13986.0,1.26,0.0,24333.0,81.11,0.6,38319.0
sda,510,65280,0,65280,0,82252.8,1.26,0.0,22140.0,73.8,0.6,104392.8
sda,518,66304,0,66304,0,83543.0,1.26,0.0,21528.0,71.76,0.6,105071.0
sda,514,65664,124,65664,124,82736.6,1.26,156.2,21783.0,72.61,0.6,104675.9
sda,60,480,29292,480,29292,604.8,1.26,36907.9,21075.0,70.25,0.6,58587.7
sda,29,132,23232,132,23232,166.3,1.26,29272.3,21741.0,72.47,0.6,51179.6
sda,431,54912,2040,54912,2040,69189.1,1.26,2570.4,18939.0,63.13,0.6,90698.5
sda,296,37760,0,37760,0,47577.6,1.26,0.0,18456.0,61.52,0.6,66033.6
sda,332,38400,30688,38400,30688,48384.0,1.26,38666.9,22197.0,73.99,0.6,109247.9
sda,196,20864,18740,20864,18740,26288.6,1.26,23612.4,20631.0,68.77,0.6,70532.0
sda,262,28288,40896,28288,40896,35642.9,1.26,51529.0,22011.0,73.37,0.6,109182.8
sda,62,276,52512,276,52512,347.8,1.26,66165.1,15759.0,52.53,0.6,82271.9
sda,68,392,56736,392,56736,493.9,1.26,71487.4,21213.0,70.71,0.6,93194.3
sda,57,136,51904,136,51904,171.4,1.26,65399.0,22425.0,74.75,0.6,87995.4
sda,71,424,52576,424,52576,534.2,1.26,66245.8,17142.0,57.14,0.6,83922.0
sda,272,30848,28704,30848,28704,38868.5,1.26,36167.0,23031.0,76.77,0.6,98066.5
sda,511,65408,0,65408,0,82414.1,1.26,0.0,22350.0,74.5,0.6,104764.1
sda,501,64128,0,64128,0,80801.3,1.26,0.0,21654.0,72.18,0.6,102455.3
sda,506,64768,0,64768,0,81607.7,1.26,0.0,21354.0,71.18,0.6,102961.7
sda,401,51200,36,51200,36,64512.0,1.26,45.4,20925.0,69.75,0.6,85482.4
sda,510,65280,0,65280,0,82252.8,1.26,0.0,22539.0,75.13,0.6,104791.8
sda,516,66048,0,66048,0,83220.5,1.26,0.0,22386.0,74.62,0.6,105606.5
sda,516,66048,0,66048,0,83220.5,1.26,0.0,22482.0,74.94,0.6,105702.5
sda,515,65920,0,65920,0,83059.2,1.26,0.0,22593.0,75.31,0.6,105652.2
sda,516,66048,0,66048,0,83220.5,1.26,0.0,22461.0,74.87,0.6,105681.5
sda,481,61568,12,61568,12,77575.7,1.26,15.1,22140.0,73.8,0.6,99730.8
