['Device', 'tps', 'kB_read/s', 'kB_wrtn/s', 'kb_read', 'kB_wrtn'],P.Read,Power const.,P.Write,P.Idle,%idle,Idle const,Total Power
sda,73,2161.37,1200.62,47998157,26662585,2723.3,1.26,1512.8,14898.6,82.77,0.6,19134.7
sda,28,688,0,688,0,866.9,1.26,0.0,15840.0,88,0.6,16706.9
sda,183,9828,0,9828,0,12383.3,1.26,0.0,11118.6,61.77,0.6,23501.9
sda,469,59520,0,59520,0,74995.2,1.26,0.0,13534.2,75.19,0.6,88529.4
sda,490,62592,0,62592,0,78865.9,1.26,0.0,13476.6,74.87,0.6,92342.5
sda,481,61316,0,61316,0,77258.2,1.26,0.0,13282.2,73.79,0.6,90540.4
sda,453,57732,68,57732,68,72742.3,1.26,85.7,12882.6,71.57,0.6,85710.6
sda,494,63232,0,63232,0,79672.3,1.26,0.0,13420.8,74.56,0.6,93093.1
sda,494,63232,0,63232,0,79672.3,1.26,0.0,13660.2,75.89,0.6,93332.5
sda,490,62592,0,62592,0,78865.9,1.26,0.0,13375.8,74.31,0.6,92241.7
sda,456,57216,0,57216,0,72092.2,1.26,0.0,13455.0,74.75,0.6,85547.2
sda,486,60416,80,60416,80,76124.2,1.26,100.8,13545.0,75.25,0.6,89770.0
sda,485,61696,0,61696,0,77737.0,1.26,0.0,13626.0,75.7,0.6,91363.0
sda,487,62080,0,62080,0,78220.8,1.26,0.0,13444.2,74.69,0.6,91665.0
sda,493,63104,0,63104,0,79511.0,1.26,0.0,13568.4,75.38,0.6,93079.4
sda,489,62592,0,62592,0,78865.9,1.26,0.0,13476.6,74.87,0.6,92342.5
sda,417,53376,20,53376,20,67253.8,1.26,25.2,12799.8,71.11,0.6,80078.8
sda,496,63232,12,63232,12,79672.3,1.26,15.1,13591.8,75.51,0.6,93279.2
sda,495,63360,0,63360,0,79833.6,1.26,0.0,13500.0,75,0.6,93333.6
sda,497,63104,72,63104,72,79511.0,1.26,90.7,13579.2,75.44,0.6,93181.0
sda,505,63360,240,63360,240,79833.6,1.26,302.4,13455.0,74.75,0.6,93591.0
sda,455,58240,20,58240,20,73382.4,1.26,25.2,13444.2,74.69,0.6,86851.8
sda,1209,56344,0,56344,0,70993.4,1.26,0.0,13510.8,75.06,0.6,84504.2
sda,3885,44148,8,44148,8,55626.5,1.26,10.1,13420.8,74.56,0.6,69057.4
sda,1465,57160,0,57160,0,72021.6,1.26,0.0,13476.6,74.87,0.6,85498.2
sda,476,60548,0,60548,0,76290.5,1.26,0.0,13354.2,74.19,0.6,89644.7
sda,460,58880,20,58880,20,74188.8,1.26,25.2,13399.2,74.44,0.6,87613.2
sda,494,63232,0,63232,0,79672.3,1.26,0.0,13444.2,74.69,0.6,93116.5
sda,491,62720,0,62720,0,79027.2,1.26,0.0,13717.8,76.21,0.6,92745.0
sda,548,61036,12,61036,12,76905.4,1.26,15.1,13354.2,74.19,0.6,90274.7
sda,1043,60676,0,60676,0,76451.8,1.26,0.0,13510.8,75.06,0.6,89962.6
sda,602,58808,32,58808,32,74098.1,1.26,40.3,13489.2,74.94,0.6,87627.6
sda,504,63052,0,63052,0,79445.5,1.26,0.0,13717.8,76.21,0.6,93163.3
sda,494,63232,0,63232,0,79672.3,1.26,0.0,13444.2,74.69,0.6,93116.5
sda,319,40356,4,40356,4,50848.6,1.26,5.0,13510.8,75.06,0.6,64364.4
sda,19,116,3972,116,3972,146.2,1.26,5004.7,13251.6,73.62,0.6,18402.5
sda,4,8,24,8,24,10.1,1.26,30.2,13127.4,72.93,0.6,13167.7
sda,0,0,0,0,0,0.0,1.26,0.0,13465.8,74.81,0.6,13465.8
sda,0,0,0,0,0,0.0,1.26,0.0,13489.2,74.94,0.6,13489.2
sda,0,0,0,0,0,0.0,1.26,0.0,13500.0,75,0.6,13500.0
sda,0,0,0,0,0,0.0,1.26,0.0,13489.2,74.94,0.6,13489.2
sda,4,0,24,0,24,0.0,1.26,30.2,12915.0,71.75,0.6,12945.2
sda,0,0,0,0,0,0.0,1.26,0.0,13489.2,74.94,0.6,13489.2
