['Device', 'tps', 'kB_read/s', 'kB_wrtn/s', 'kb_read', 'kB_wrtn'],P.Read,Power const.,P.Write,P.Idle,%idle,Idle const,Total Power
sda,295.87,4773.61,3132.5,13815013,9065569,6014.7,1.26,3947.0,973.8,81.15,0.6,10935.5
sda,1,4,0,4,0,5.0,1.26,0.0,1116.0,93,0.6,1121.0
sda,46,24,41060,24,41060,30.2,1.26,51735.6,1028.5,85.71,0.6,52794.4
sda,5,4,7920,4,7920,5.0,1.26,9979.2,1148.6,95.72,0.6,11132.9
sda,1,4,0,4,0,5.0,1.26,0.0,1111.1,92.59,0.6,1116.1
sda,11,112,0,112,0,141.1,1.26,0.0,1119.2,93.27,0.6,1260.4
sda,98,924,860,924,860,1164.2,1.26,1083.6,772.9,64.41,0.6,3020.8
sda,90,568,800,568,800,715.7,1.26,1008.0,920.5,76.71,0.6,2644.2
sda,0,0,0,0,0,0.0,1.26,0.0,1154.8,96.23,0.6,1154.8
sda,0,0,0,0,0,0.0,1.26,0.0,1164.1,97.01,0.6,1164.1
sda,0,0,0,0,0,0.0,1.26,0.0,1197.0,99.75,0.6,1197.0
sda,0,0,0,0,0,0.0,1.26,0.0,1169.9,97.49,0.6,1169.9
sda,2,0,28,0,28,0.0,1.26,35.3,1181.9,98.49,0.6,1217.2
sda,0,0,0,0,0,0.0,1.26,0.0,1194.0,99.5,0.6,1194.0
sda,0,0,0,0,0,0.0,1.26,0.0,1200.0,100,0.6,1200.0
sda,0,0,0,0,0,0.0,1.26,0.0,1200.0,100,0.6,1200.0
sda,0,0,0,0,0,0.0,1.26,0.0,1181.8,98.48,0.6,1181.8
sda,0,0,0,0,0,0.0,1.26,0.0,1134.0,94.5,0.6,1134.0
sda,2,0,12,0,12,0.0,1.26,15.1,1173.1,97.76,0.6,1188.2
sda,47,300,0,300,0,378.0,1.26,0.0,1073.6,89.47,0.6,1451.6
