['Device', 'tps', 'kB_read/s', 'kB_wrtn/s', 'kB_read', 'kB_wrtn'],P.Read,Power const.,P.Write,P.Idle,%idle,Idle const,Total Power
sda,11.49,248.32,8988.59,1331881,48210997,312.9,1.26,11325.6,1075.9,89.66,0.6,12714.4
sda,0,0,0,0,0,0,1.26,0,1149.2,95.77,0.6,0
sda,145,18436,0,18436,0,23229.4,1.26,0,1050.7,87.56,0.6,23229.4
sda,517,66176,0,66176,0,83381.8,1.26,0,863.2,71.93,0.6,83381.8
sda,516,66048,0,66048,0,83220.5,1.26,0,864.5,72.04,0.6,83220.5
sda,162,18176,408,18176,408,22901.8,1.26,514.1,711.5,59.29,0.6,23415.8
sda,109,11904,552,11904,552,14999,1.26,695.5,669.0,55.75,0.6,15694.6
sda,107,11648,552,11648,552,14676.5,1.26,695.5,675.7,56.31,0.6,15372
sda,108,11520,528,11520,528,14515.2,1.26,665.3,670.7,55.89,0.6,15180.5
sda,108,11776,528,11776,528,14837.8,1.26,665.3,658.9,54.91,0.6,15503
sda,107,11392,540,11392,540,14353.9,1.26,680.4,681.4,56.78,0.6,15034.3
sda,101,10240,928,10240,928,12902.4,1.26,1169.3,655.1,54.59,0.6,14071.7
sda,107,11392,896,11392,896,14353.9,1.26,1129,660.4,55.03,0.6,15482.9
sda,112,12032,800,12032,800,15160.3,1.26,1008,657.2,54.77,0.6,16168.3
sda,109,11520,816,11520,816,14515.2,1.26,1028.2,669.4,55.78,0.6,15543.4
sda,102,10880,924,10880,924,13708.8,1.26,1164.2,645.7,53.81,0.6,14873
sda,114,12288,864,12288,864,15482.9,1.26,1088.6,652.1,54.34,0.6,16571.5
sda,107,11264,1028,11264,1028,14192.6,1.26,1295.3,622.3,51.86,0.6,15487.9
sda,114,12416,1296,12416,1296,15644.2,1.26,1633,648.7,54.06,0.6,17277.1
sda,120,13056,1552,13056,1552,16450.6,1.26,1955.5,666.4,55.53,0.6,18406.1
