Linux 3.19.0-84-generic (Lenovo-G50-80) 	Friday 17 November 2017 	_x86_64_	(4 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           2.54    0.01    1.45    6.33    0.00   89.66

Device:            tps    kB_read/s    kB_wrtn/s    kB_read    kB_wrtn
sda              11.49       248.32      8988.59    1331881   48210997
sda1              0.02         0.16         0.00        848          0
sda2              0.05         0.54         0.00       2876          1
sda3              0.02         0.16         0.00        832          0
sda4              0.02         0.15         0.00        824          0
sda5              0.02         0.16         0.00        832          0
sda6              0.02         0.16         0.00        832          0
sda7              0.02         0.16         0.00        832          0
sda8              0.02         0.16         0.00        832          0
sda9              0.02         0.16         0.00        840          0
sda10            10.77       246.19      8988.59    1320449   48210996
sda11             0.02         0.18         0.00        956          0

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           2.74    0.25    1.24    0.00    0.00   95.77

Device:            tps    kB_read/s    kB_wrtn/s    kB_read    kB_wrtn
sda               0.00         0.00         0.00          0          0
sda1              0.00         0.00         0.00          0          0
sda2              0.00         0.00         0.00          0          0
sda3              0.00         0.00         0.00          0          0
sda4              0.00         0.00         0.00          0          0
sda5              0.00         0.00         0.00          0          0
sda6              0.00         0.00         0.00          0          0
sda7              0.00         0.00         0.00          0          0
sda8              0.00         0.00         0.00          0          0
sda9              0.00         0.00         0.00          0          0
sda10             0.00         0.00         0.00          0          0
sda11             0.00         0.00         0.00          0          0

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           2.79    0.00    2.28    7.36    0.00   87.56

Device:            tps    kB_read/s    kB_wrtn/s    kB_read    kB_wrtn
sda             145.00     18436.00         0.00      18436          0
sda1              0.00         0.00         0.00          0          0
sda2              0.00         0.00         0.00          0          0
sda3              0.00         0.00         0.00          0          0
sda4              0.00         0.00         0.00          0          0
sda5              0.00         0.00         0.00          0          0
sda6              0.00         0.00         0.00          0          0
sda7              0.00         0.00         0.00          0          0
sda8              0.00         0.00         0.00          0          0
sda9              0.00         0.00         0.00          0          0
sda10           145.00     18436.00         0.00      18436          0
sda11             0.00         0.00         0.00          0          0

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           3.01    0.00    2.51   22.56    0.00   71.93

Device:            tps    kB_read/s    kB_wrtn/s    kB_read    kB_wrtn
sda             517.00     66176.00         0.00      66176          0
sda1              0.00         0.00         0.00          0          0
sda2              0.00         0.00         0.00          0          0
sda3              0.00         0.00         0.00          0          0
sda4              0.00         0.00         0.00          0          0
sda5              0.00         0.00         0.00          0          0
sda6              0.00         0.00         0.00          0          0
sda7              0.00         0.00         0.00          0          0
sda8              0.00         0.00         0.00          0          0
sda9              0.00         0.00         0.00          0          0
sda10           517.00     66176.00         0.00      66176          0
sda11             0.00         0.00         0.00          0          0

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           2.27    0.00    2.27   23.43    0.00   72.04

Device:            tps    kB_read/s    kB_wrtn/s    kB_read    kB_wrtn
sda             516.00     66048.00         0.00      66048          0
sda1              0.00         0.00         0.00          0          0
sda2              0.00         0.00         0.00          0          0
sda3              0.00         0.00         0.00          0          0
sda4              0.00         0.00         0.00          0          0
sda5              0.00         0.00         0.00          0          0
sda6              0.00         0.00         0.00          0          0
sda7              0.00         0.00         0.00          0          0
sda8              0.00         0.00         0.00          0          0
sda9              0.00         0.00         0.00          0          0
sda10           516.00     66048.00         0.00      66048          0
sda11             0.00         0.00         0.00          0          0

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           2.04    0.00    1.27   37.40    0.00   59.29

Device:            tps    kB_read/s    kB_wrtn/s    kB_read    kB_wrtn
sda             162.00     18176.00       408.00      18176        408
sda1              0.00         0.00         0.00          0          0
sda2              0.00         0.00         0.00          0          0
sda3              0.00         0.00         0.00          0          0
sda4              0.00         0.00         0.00          0          0
sda5              0.00         0.00         0.00          0          0
sda6              0.00         0.00         0.00          0          0
sda7              0.00         0.00         0.00          0          0
sda8              0.00         0.00         0.00          0          0
sda9              0.00         0.00         0.00          0          0
sda10           153.00     18176.00       408.00      18176        408
sda11             0.00         0.00         0.00          0          0

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           2.50    0.00    2.00   39.75    0.00   55.75

Device:            tps    kB_read/s    kB_wrtn/s    kB_read    kB_wrtn
sda             109.00     11904.00       552.00      11904        552
sda1              0.00         0.00         0.00          0          0
sda2              0.00         0.00         0.00          0          0
sda3              0.00         0.00         0.00          0          0
sda4              0.00         0.00         0.00          0          0
sda5              0.00         0.00         0.00          0          0
sda6              0.00         0.00         0.00          0          0
sda7              0.00         0.00         0.00          0          0
sda8              0.00         0.00         0.00          0          0
sda9              0.00         0.00         0.00          0          0
sda10            98.00     11904.00       552.00      11904        552
sda11             0.00         0.00         0.00          0          0

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           2.02    0.00    1.01   40.66    0.00   56.31

Device:            tps    kB_read/s    kB_wrtn/s    kB_read    kB_wrtn
sda             107.00     11648.00       552.00      11648        552
sda1              0.00         0.00         0.00          0          0
sda2              0.00         0.00         0.00          0          0
sda3              0.00         0.00         0.00          0          0
sda4              0.00         0.00         0.00          0          0
sda5              0.00         0.00         0.00          0          0
sda6              0.00         0.00         0.00          0          0
sda7              0.00         0.00         0.00          0          0
sda8              0.00         0.00         0.00          0          0
sda9              0.00         0.00         0.00          0          0
sda10            96.00     11648.00       552.00      11648        552
sda11             0.00         0.00         0.00          0          0

