	Iozone: Performance Test of File I/O
	        Version $Revision: 3.420 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa.

	Run began: Fri Nov 17 01:10:23 2017

	Auto Mode
	Command line used: iozone -a
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  852702 1421755  3958892  3541098 3363612 2006158  942521  1679761  2467108   639427   608965 1083249  3203069
              64       8  508587 1648808  5389653  5283570 3541098 1892980 1452528  2203800  2662899  1734015  1780008 1066042   983980
              64      16  913649 1518251  5860307  7100397 5389653 1947927 2278628  2133730  3541098  1828508  2067979 2298136  4274062
              64      32 1013707  901377  4564786  1255511 5389653 1734015 2358717  2006158  1526887  1991276  2444640 2298136  3363612
              64      64  926260 2006158 12902017  3738358 3406295 1690338 2467108  1879725  2561267  1690338  1828508 2689580  4988978
             128       4 1196221 1802755  2238774  3657016 3124872 1778862 2920861  2132084  2286447  1622919   889145 3359523  3759450
             128       8 1032829  673778  5603747  5122535 4557257  871818 2558895  2453642  4759253  1852520  2367096 3445772  4759253
             128      16  831319 1206978  5847904  6406138 5784891 2248149 1521718   883293  5122535  2035099  1076312 3895854  5122535
             128      32 1278855 1885042  6406138  7476717 6406138 2286447 3359523  3199360  3982553   934004  2098744 3560017  5603747
             128      64 1291158 1196221  2727923  7476717 5847904 2511022 1684006  2673584  1939522  1254941  1521718 1802755  3445772
             128     128  656477 1710838  9287508  3895854 3560017 1294270 3359523  2098744  3560017  2166499  1778862 3657016  5325799
             256       4 1319408 2754556  4422226  4652146 4572895 2392442 3159869  1447470  3410808  1802167  2187712 1802167  4496299
             256       8 1163562  780445  2305128  5971678 5117791 2582316 1778290  3879045  4070199  1098113  2639446 4819184  5687020
             256      16 1185399 2672291  2533571  2943325 2557711 2187712 3654598  1552085  6073004  2371308  2131261  897923  5687020
             256      32 1504249 2699161  6213578  3605511 6249745 2903529 4929815  3285566  7314033  1552085  2533571 4819184  5938650
             256      64  563997 2726577  7518900  6398720 6213578 3009318 2486631  3605511  4929815  3087188  2903529 2131261  2842047
             256     128 1463250 2613746  8024634  6891544 6249745 2872459 4132864  3159869  5455847  2665657  3245838 4496299  5810112
             256     256 1662639 2509882  3605511  9192546 6398720 2880164 4132864  2783115  4734192  2783115  2557711 4929815  5938650
             512       4 1441452 2381315  2695115  3849877 3346002 1585086 3934520  1560891  3431550  1938502  2381315 4305250  4973263
             512       8 1417662 1778004  5744919  4973263 5566231 2826358 3905895  3279573  4650188  2665014  2244430 4532414  5886650
             512      16 1528669 2830083  6652558  5566231 5331314 2695115 2782414  4091959  4916336  1414860  1387437 4532414  3934520
             512      32 1625889 1062161  6571132  7022379 6035551 2926501 2160868  3815675  7410080  2381315  2796910 5453155  3941742
             512      64  768934 2926501  6491676  7091952 6909408 3140488 3634839  2235086  8265729  3046915  3012719 5398323  6757222
             512     128 1570020 2845081  6571132  7410080 6652558 3158966 5509113  3768799  7115451  3325278  3259661 3099691  3849877
             512     256 1524329 1753325  7647578  6319739 5886650 2860238 5227492  3372274  5951911  3081897  4068701 3504346  6018636
             512     512 1605228 2815243  4068701  8992598 6571132 3177664 5177083  2991733  5684095  1689859  3046915 4838792  6174377
            1024       4 1383774 2666347  5219904  4741598 3735385 2343383 3401130  2156318  4228138  2052253   976172 4826859  4995276
            1024       8 1614767 2877110  5950309  4700088 4762630 2579861 4783849  4451639  5120336  2892612  2710090 5417427  5690162
            1024      16 1668074 2993413  2746483  5789881 5417427 2892612 5245404  2035716  2541692  2827858  2918161 4876180  5991815
            1024      32 1657133 3057339  3294177  6733974 6317933 3492395 5623115  4300102  6128613  1482144  1899750 6441107  5821271
            1024      64  628580 3012308  6599461  6787181 5751117 3037876 5529011  3506651  3722435  3046495  2497356 5758828  6744549
            1024     128 1687075 2827858  6918376  5536137 6519323 2869422 5065980  2056183  8750850  1896395  1670669 3200886  6519323
            1024     256 1620249 2995501  6830356  7160597 5991815 2934110 2387677  1437980  3029305  1247157  3239514 2666347  6208343
            1024     512 1338494 2414523  6874084  5917516 6402699 2612819 5507740  3603747  6874084  3130886  4249053 5751117  6317933
            1024    1024 1378445 2837198  8750850  3684119 5789881 2710090 5303701  3037876  3808251  3151562  3103735 6059442  6244448
            2048       4 1433135 2241160  4656281  2625441 2301200  939426 3977179  2303669  2038038  1959469  2509617 4451191  5044577
            2048       8 1640927 2340705  5986827  5306340 5900467 2989045 5277002  3459769  5184636  3038742  1501262 4707314  5953632
            2048      16 1658350  855843  3953383  6321679 6110328 3245396 5582208  3899542  4886737  2929912  2951050 6132138  6401772
            2048      32 1684034 1641240  4112366  5319484 6802261 3261415 6110328  3483621  6378005  3047366  2406949 5549749  6608629
            2048      64 1396100 2434922  6149699  5868220 6007763 3065856 5596757  1269797  6523312   964748  3024831 6563185  2998435
            2048     128 1389326 3210223  6132138  6523312 7444871 4071433 2760434  3764533  9621281  3136379  2916978 5376082  3567536
            2048     256 1652925 2389540  5785224  6717153 3955204 1941313 6092991  3465352  4909079  2612664  3079044 5461535  3297725
